date,user_name,day,week,day_of_week,phase,is_training_day,total_sets,training_volume_load,average_rpe,session_duration_min,compound_sets,isolation_sets,effective_reps,time_under_tension_min,calories,protein_g,carbs_g,fats_g,protein_g_per_kg,fiber_g,hydration_liters,meals_per_day,vitamin_d_iu,creatine_g,calorie_surplus,tdee_estimate,sleep_duration_hours,sleep_quality_1_10,deep_sleep_percent,rem_sleep_percent,sleep_efficiency_percent,sleep_latency_min,awakenings_count,weight_kg,estimated_muscle_mass_kg,body_fat_percent,daily_muscle_gain_g,hrv_rmssd,resting_heart_rate,perceived_stress_1_10,weekly_weight_trend_kg,calories_7d_avg,protein_7d_avg,sleep_7d_avg,training_volume_7d_avg,weight_7d_avg,weight_trend_14d,cumulative_training_volume,training_consistency_7d,recovery_score,training_stress_balance,protein_adequacy_ratio,calorie_surplus_per_kg,phase_encoded,age,sex_encoded,training_age_years,experience_level_encoded,muscle_gain_kg_per_week,weight_change_kg_per_week,user_id
2024-01-15,Alex_Beginner,15,3,0,building,False,0.0,0,0.0,0,0,0,0,0.0,2011,114.2,234.7,68.3,1.63,8.2,2.0,5,1003,5,-860,2871,7.2,5.5,16.5,21.8,91.4,5,1,70.01,25.12,16.0,11.0,28.9,66,2.0,0.077,2218.714285714286,113.21428571428571,7.828571428571428,1.7142857142857142,69.94142857142857,-0.07676923076925052,31.0,0.2857142857142857,0.79475,0.0,0.9055555555555554,-12.283959434366519,1,22,1,0.5,1,0.077,-1.190000000000012,0
2024-01-16,Alex_Beginner,16,3,1,building,False,0.0,0,0.0,0,0,0,0,0.0,2465,98.0,278.7,106.5,1.4,9.8,3.0,4,1887,5,-403,2868,8.3,8.0,22.6,24.4,86.6,29,1,70.24,25.13,15.9,8.8,48.6,60,2.9,0.061,2306.0,113.11428571428571,7.957142857142857,0.8571428571428571,69.87,-0.10892307692310932,31.0,0.14285714285714285,1.340689655172414,0.0,0.7777777777777777,-5.7374715261959,1,22,1,0.5,1,0.0616,1.6099999999999284,0
2024-01-17,Alex_Beginner,17,3,2,building,False,0.0,0,0.0,0,0,0,0,0.0,2392,98.3,324.8,77.7,1.4,11.4,2.7,5,2373,5,-480,2872,7.7,6.9,17.3,26.2,89.1,33,1,70.1,25.14,16.0,8.5,52.7,59,3.8,0.059,2287.285714285714,113.01428571428572,7.8428571428571425,0.8571428571428571,69.98142857142857,-0.15646153846155383,31.0,0.14285714285714285,0.9569210526315791,0.0,0.7777777777777777,-6.847360912981456,1,22,1,0.5,1,0.059500000000000004,-0.980000000000004,0
2024-01-18,Alex_Beginner,18,3,3,building,True,6.0,2440,6.8,54,3,3,15,3.2,2161,98.1,257.4,82.1,1.4,9.0,1.8,4,1817,5,-709,2870,8.0,7.8,25.7,17.7,89.6,28,2,70.27,25.18,16.0,35.3,51.0,60,4.4,0.247,2231.714285714286,109.72857142857143,7.957142857142856,1.7142857142857142,70.03571428571429,-0.07323076923076952,37.0,0.2857142857142857,0.9040909090909091,0.6666666666666666,0.7777777777777777,-10.089654190977658,1,22,1,0.5,1,0.2471,1.190000000000012,0
2024-01-19,Alex_Beginner,19,3,4,building,False,0.0,0,0.0,0,0,0,0,0.0,2459,121.5,239.3,112.8,1.73,8.4,2.3,3,2495,5,-414,2873,7.8,8.7,23.8,21.4,85.7,13,0,70.2,25.2,16.0,15.7,70.5,54,5.2,0.11,2334.285714285714,113.11428571428573,8.028571428571428,1.7142857142857142,70.09857142857143,-0.1247692307692575,37.0,0.2857142857142857,1.1795192307692306,0.0,0.961111111111111,-5.897435897435897,1,22,1,0.5,1,0.1099,-0.48999999999995225,0
2024-01-20,Alex_Beginner,20,3,5,building,False,0.0,0,0.0,0,0,0,0,0.0,2646,138.4,310.4,94.5,1.97,10.9,2.5,4,1223,5,-226,2871,7.8,7.3,17.7,18.5,98.0,27,3,70.13,25.22,16.0,21.3,45.2,61,3.8,0.149,2374.5714285714284,112.88571428571429,7.928571428571429,0.8571428571428571,70.16142857142857,-0.059846153846174255,37.0,0.14285714285714285,0.8683157894736844,0.0,1.0944444444444443,-3.222586624839584,1,22,1,0.5,1,0.1491,-0.4900000000000517,0
2024-01-21,Alex_Beginner,21,3,6,building,False,0.0,0,0.0,0,0,0,0,0.0,2574,139.2,371.0,59.3,1.99,13.0,2.1,4,1542,5,-296,2870,7.8,8.9,17.5,23.5,82.8,17,0,69.91,25.24,16.1,15.6,62.6,56,2.1,0.109,2386.8571428571427,115.38571428571429,7.799999999999999,0.8571428571428571,70.12285714285714,-0.009538461538487078,37.0,0.14285714285714285,2.653047619047619,0.0,1.1055555555555556,-4.234015162351595,1,22,1,0.5,1,0.10919999999999999,-1.539999999999992,0
2024-01-22,Alex_Beginner,22,4,0,building,False,0.0,0,0.0,0,0,0,0,0.0,2638,105.9,227.4,145.0,1.51,8.0,2.6,4,2103,5,-229,2867,8.1,7.0,24.1,24.5,82.6,18,2,68.99,25.25,16.2,12.6,48.0,61,5.3,0.088,2476.4285714285716,114.2,7.928571428571429,0.8571428571428571,69.97714285714285,-0.1250769230769264,37.0,0.14285714285714285,0.6339622641509434,0.0,0.8388888888888889,-3.31932164081751,1,22,1,0.5,1,0.0882,-6.440000000000012,0
2024-01-23,Alex_Beginner,23,4,1,building,True,6.0,4905,7.1,52,3,3,32,3.9,2480,105.7,277.4,105.3,1.53,9.7,2.9,5,2391,0,-371,2851,8.7,8.0,24.9,25.8,87.9,5,0,68.96,25.3,16.0,46.5,35.2,64,3.6,0.326,2478.5714285714284,115.3,7.985714285714287,1.7142857142857142,69.7942857142857,-0.14476923076925227,43.0,0.2857142857142857,0.7822222222222223,0.6185567010309279,0.85,-5.379930394431555,1,22,1,0.5,1,0.3255,-0.21000000000000796,0
2024-01-24,Alex_Beginner,24,4,2,building,False,0.0,0,0.0,0,0,0,0,0.0,2308,120.1,288.2,74.9,1.74,10.1,2.5,5,1589,5,-543,2850,8.4,8.1,25.4,22.6,92.2,9,3,69.33,25.31,15.9,13.8,49.5,60,4.8,0.096,2466.5714285714284,118.41428571428571,8.085714285714285,1.7142857142857142,69.6842857142857,-0.36338461538461886,43.0,0.2857142857142857,0.8353125,0.0,0.9666666666666667,-7.83210731285158,1,22,1,0.5,1,0.0966,2.590000000000032,0
2024-01-25,Alex_Beginner,25,4,3,building,True,6.0,3984,8.0,82,3,3,29,4.2,1713,119.3,236.2,33.3,1.72,8.3,2.8,5,1186,5,-1144,2857,8.4,8.8,19.7,21.0,90.3,7,0,69.43,25.37,16.0,57.9,43.9,62,3.4,0.406,2402.5714285714284,121.44285714285714,8.142857142857142,1.7142857142857142,69.56428571428572,-0.43076923076924806,49.0,0.2857142857142857,1.136235294117647,0.6382978723404255,0.9555555555555555,-16.477027221662105,1,22,1,0.5,1,0.4053,0.7000000000000597,0
2024-01-26,Alex_Beginner,26,4,4,building,False,0.0,0,0.0,0,0,0,0,0.0,2319,108.4,278.5,85.8,1.56,9.7,2.7,4,1647,5,-539,2858,7.6,6.3,17.2,17.3,83.3,18,0,70.28,25.38,15.8,11.1,52.1,59,2.2,0.078,2382.5714285714284,119.57142857142857,8.114285714285716,1.7142857142857142,69.57571428571428,-0.34400000000002445,49.0,0.2857142857142857,1.4919545454545455,0.0,0.8666666666666667,-7.669322709163347,1,22,1,0.5,1,0.0777,5.94999999999996,0
2024-01-27,Alex_Beginner,27,4,5,building,False,0.0,0,0.0,0,0,0,0,0.0,2434,98.4,273.0,105.4,1.4,9.6,2.6,4,1377,5,-439,2873,7.4,7.8,23.8,26.8,98.0,19,1,70.14,25.39,16.0,11.4,58.0,58,3.4,0.08,2352.285714285714,113.85714285714286,8.057142857142857,1.7142857142857142,69.57714285714285,-0.31738461538465795,49.0,0.2857142857142857,1.3305882352941176,0.0,0.7777777777777777,-6.258910749928714,1,22,1,0.5,1,0.07980000000000001,-0.980000000000004,0
2024-01-28,Alex_Beginner,28,4,6,building,False,0.0,0,0.0,0,0,0,0,0.0,3287,145.4,350.0,145.0,2.07,12.2,2.4,4,1489,0,417,2870,7.8,6.9,19.9,25.5,95.0,18,2,69.96,25.41,16.2,18.6,43.4,62,3.7,0.13,2454.1428571428573,114.74285714285713,8.057142857142857,1.7142857142857142,69.58428571428571,-0.227538461538495,49.0,0.2857142857142857,0.8093513513513513,0.0,1.15,5.960548885077188,1,22,1,0.5,1,0.1302,-1.2600000000000477,0
2024-01-29,Alex_Beginner,29,5,0,building,False,0.0,0,0.0,0,0,0,0,0.0,2650,135.1,201.0,145.0,1.93,7.0,2.2,4,1653,0,-218,2867,7.9,6.6,23.7,21.3,81.9,7,3,69.87,25.43,16.0,18.7,53.4,59,2.5,0.131,2455.8571428571427,118.91428571428571,8.028571428571428,1.7142857142857142,69.71000000000001,-0.18815384615386407,49.0,0.2857142857142857,1.40976,0.0,1.0722222222222222,-3.12008014884786,1,22,1,0.5,1,0.1309,-0.6299999999999244,0
2024-01-30,Alex_Beginner,30,5,1,building,True,6.0,3453,6.5,54,3,3,21,4.5,2310,97.8,248.9,102.6,1.4,8.7,2.7,5,2086,5,-556,2866,7.7,8.6,25.2,24.0,90.1,6,1,70.01,25.47,16.0,35.2,44.0,62,3.2,0.247,2431.5714285714284,117.78571428571429,7.885714285714285,1.7142857142857142,69.86,-0.06338461538462745,55.0,0.2857142857142857,1.1824999999999999,0.6896551724137931,0.7777777777777777,-7.941722611055563,1,22,1,0.5,1,0.2464,0.980000000000004,0
2024-01-31,Alex_Beginner,31,5,2,building,False,0.0,0,0.0,0,0,0,0,0.0,2382,141.2,214.3,106.7,2.02,7.5,2.2,3,1900,0,-486,2868,7.8,8.2,19.0,18.8,94.4,15,1,69.89,25.48,16.0,10.6,53.8,59,4.5,0.074,2442.1428571428573,120.8,7.8,1.7142857142857142,69.94,0.012153846153822295,55.0,0.2857142857142857,0.9803555555555553,0.0,1.1222222222222222,-6.953784518529117,1,22,1,0.5,1,0.0742,-0.8400000000000318,0
2024-02-01,Alex_Beginner,32,5,3,building,True,6.0,5433,7.4,61,3,3,37,3.5,2217,104.7,321.4,57.0,1.5,11.2,1.8,4,2242,5,-649,2866,7.5,6.1,20.2,20.5,92.0,12,3,70.29,25.52,15.9,39.4,51.4,60,5.3,0.276,2514.1428571428573,118.71428571428571,7.671428571428572,1.7142857142857142,70.06285714285714,0.21338461538461273,61.0,0.2857142857142857,0.5915849056603774,0.7058823529411765,0.8333333333333333,-9.23317683881064,1,22,1,0.5,1,0.2758,2.80000000000004,0
2024-02-02,Alex_Beginner,33,5,4,building,False,0.0,0,0.0,0,0,0,0,0.0,2305,98.4,289.4,83.7,1.4,10.1,2.9,4,2052,5,-568,2873,6.7,8.2,23.5,15.6,90.3,12,1,70.81,25.53,15.9,9.2,49.2,60,3.9,0.065,2512.1428571428573,117.28571428571429,7.542857142857143,1.7142857142857142,70.13857142857144,0.5018461538461474,61.0,0.2857142857142857,1.0344615384615383,0.0,0.7777777777777777,-8.021465894647648,1,22,1,0.5,1,0.0644,3.639999999999972,0
2024-02-03,Alex_Beginner,34,5,5,illness,False,0.0,0,0.0,0,0,0,0,0.0,2653,99.1,289.1,122.2,1.4,10.1,2.0,4,2008,0,-229,2882,6.8,7.4,21.5,23.0,80.3,11,4,70.85,25.54,16.0,7.3,42.0,62,3.7,0.051,2543.4285714285716,117.38571428571429,7.457142857142857,1.7142857142857142,70.24000000000001,0.7633846153846086,61.0,0.2857142857142857,0.84,0.0,0.7777777777777777,-3.2321806633733243,4,22,1,0.5,1,0.0511,0.2799999999999443,0
2024-02-04,Alex_Beginner,35,5,6,building,False,0.0,0,0.0,0,0,0,0,0.0,3038,179.1,331.9,110.4,2.53,11.6,3.1,4,2575,5,155,2883,7.5,6.7,22.8,21.5,86.8,6,2,71.43,25.56,15.9,15.4,39.4,63,3.8,0.108,2507.8571428571427,122.20000000000002,7.4142857142857155,1.7142857142857142,70.45,1.0679999999999776,61.0,0.2857142857142857,0.6946842105263159,0.0,1.4055555555555554,2.1699566008679825,1,22,1,0.5,1,0.1078,4.0600000000000875,0
2024-02-05,Alex_Beginner,36,6,0,vacation,False,0.0,0,0.0,0,0,0,0,0.0,1856,112.8,400.2,33.3,1.58,14.0,2.4,4,2604,5,-1036,2892,8.6,9.2,21.8,23.7,87.0,15,3,71.91,25.56,15.9,4.1,50.1,60,4.1,0.029,2394.4285714285716,119.01428571428572,7.514285714285713,1.7142857142857142,70.74142857142857,1.209538461538432,61.0,0.2857142857142857,1.1241951219512194,0.0,0.8777777777777778,-14.40689751077736,3,22,1,0.5,1,0.028699999999999996,3.3599999999999284,0
2024-02-06,Alex_Beginner,37,6,1,vacation,False,0.0,0,0.0,0,0,0,0,0.0,2410,125.6,346.9,57.8,1.75,12.1,2.5,4,1728,5,-491,2901,7.8,9.3,14.5,23.5,85.8,13,4,71.71,25.57,16.0,5.8,50.1,60,3.1,0.041,2408.714285714286,122.9857142857143,7.528571428571429,0.8571428571428571,70.98428571428572,1.2143076923076894,61.0,0.14285714285714285,1.5030000000000003,0.0,0.9722222222222222,-6.847022730442059,3,22,1,0.5,1,0.0406,-1.40000000000002,0
2024-02-07,Alex_Beginner,38,6,2,vacation,False,0.0,0,0.0,0,0,0,0,0.0,2003,119.8,356.9,33.3,1.67,12.5,2.1,3,1922,0,-894,2897,7.1,7.0,18.7,24.6,80.9,5,3,72.23,25.57,15.9,4.3,53.7,59,4.0,0.03,2354.5714285714284,119.92857142857143,7.428571428571429,0.8571428571428571,71.31857142857143,1.3238461538461261,61.0,0.14285714285714285,0.9397500000000001,0.0,0.9277777777777777,-12.377128616918178,3,22,1,0.5,1,0.030100000000000002,3.6400000000000716,0
2024-02-08,Alex_Beginner,39,6,3,vacation,True,3.6,2670,8.0,43,2,1,20,1.8,2289,150.2,252.3,75.5,2.08,8.8,2.4,4,2293,5,-617,2906,8.0,9.0,17.3,22.5,86.5,8,1,73.06,25.59,15.8,15.4,47.3,61,2.2,0.108,2364.8571428571427,126.42857142857143,7.5,0.5142857142857143,71.71428571428571,1.533230769230737,64.6,0.14285714285714285,1.9349999999999996,0.4,1.1555555555555557,-8.445113605255953,3,22,1,0.5,1,0.1078,5.809999999999988,0
2024-02-09,Alex_Beginner,40,6,4,vacation,False,0.0,0,0.0,0,0,0,0,0.0,2081,114.9,222.4,81.3,1.57,7.8,2.7,3,2519,0,-839,2920,7.0,8.9,20.7,22.3,78.1,15,2,72.91,25.59,16.0,3.9,55.3,58,1.7,0.027,2332.8571428571427,128.78571428571428,7.542857142857144,0.5142857142857143,72.01428571428572,1.7970769230768924,64.6,0.14285714285714285,2.895117647058824,0.0,0.8722222222222222,-11.507337813742971,3,22,1,0.5,1,0.027299999999999998,-1.0500000000000398,0
2024-02-10,Alex_Beginner,41,6,5,vacation,False,0.0,0,0.0,0,0,0,0,0.0,2467,121.4,339.8,69.2,1.67,11.9,1.9,5,1780,0,-450,2918,7.3,8.3,25.7,22.3,72.8,14,3,73.03,25.59,16.0,4.8,46.4,61,5.6,0.034,2306.285714285714,131.97142857142856,7.614285714285714,0.5142857142857143,72.32571428571428,1.9716923076922848,64.6,0.14285714285714285,0.6877142857142857,0.0,0.9277777777777777,-6.1618512939887715,3,22,1,0.5,1,0.0336,0.8400000000000318,0
2024-02-11,Alex_Beginner,42,6,6,vacation,False,0.0,0,0.0,0,0,0,0,0.0,2732,135.3,176.8,164.9,1.85,6.2,2.5,5,2043,0,-187,2920,8.2,8.6,25.2,22.6,89.9,35,1,72.58,25.6,16.1,7.0,52.6,59,3.8,0.049,2262.5714285714284,125.71428571428571,7.714285714285714,0.5142857142857143,72.49,1.9258461538461515,64.6,0.14285714285714285,1.190421052631579,0.0,1.027777777777778,-2.5764673463764125,3,22,1,0.5,1,0.049,-3.15000000000002,0
2024-02-12,Alex_Beginner,43,7,0,illness,False,0.0,0,0.0,0,0,0,0,0.0,2453,156.9,307.8,66.0,2.16,10.8,2.2,3,2208,5,-459,2912,7.8,6.6,24.5,24.8,98.0,7,1,71.57,25.6,16.2,3.9,55.5,58,2.4,0.028,2347.8571428571427,132.0142857142857,7.6000000000000005,0.5142857142857143,72.44142857142857,1.5766153846153592,64.6,0.14285714285714285,1.5262499999999999,0.0,1.2,-6.413301662707839,4,22,1,0.5,1,0.027299999999999998,-7.070000000000036,0
2024-02-13,Alex_Beginner,44,7,1,building,True,6.0,5013,8.7,57,3,3,40,3.1,2005,136.1,267.0,43.6,1.9,9.3,2.4,4,1885,0,-890,2895,6.5,8.5,23.4,18.8,91.1,12,1,71.06,25.65,16.1,49.0,53.2,59,5.0,0.343,2290.0,133.5142857142857,7.414285714285714,1.3714285714285714,72.34857142857143,1.1053846153845905,70.6,0.2857142857142857,0.9044000000000001,0.8,1.0555555555555556,-12.524627075710667,1,22,1,0.5,1,0.343,-3.5699999999999363,0
2024-02-14,Alex_Beginner,45,7,2,building,False,0.0,0,0.0,0,0,0,0,0.0,1912,119.3,248.0,49.2,1.68,8.7,1.9,5,1883,0,-974,2886,8.5,8.9,12.5,23.5,90.6,45,3,70.29,25.66,16.2,10.5,51.9,59,3.5,0.073,2277.0,133.44285714285715,7.614285714285714,1.3714285714285714,72.07142857142857,0.42015384615379114,70.6,0.2857142857142857,1.3197428571428573,0.0,0.9333333333333332,-13.856878645611038,1,22,1,0.5,1,0.07350000000000001,-5.389999999999972,0
2024-02-15,Alex_Beginner,46,7,3,building,True,6.0,4501,6.8,51,3,3,28,3.4,1780,98.4,176.9,75.4,1.4,6.2,2.9,4,2123,5,-1093,2873,7.4,6.1,18.2,22.3,86.3,29,4,71.01,25.7,15.8,37.6,51.0,60,4.6,0.263,2204.285714285714,126.04285714285716,7.528571428571428,1.7142857142857142,71.77857142857142,-0.041076923076945486,76.6,0.2857142857142857,0.676304347826087,0.7142857142857143,0.7777777777777777,-15.39219828193212,1,22,1,0.5,1,0.2632,5.039999999999992,0
2024-02-16,Alex_Beginner,47,7,4,building,False,0.0,0,0.0,0,0,0,0,0.0,2441,99.4,218.8,129.8,1.4,7.7,2.4,4,1790,5,-444,2885,7.5,6.3,21.8,28.1,92.6,5,4,70.51,25.71,16.1,10.1,54.5,59,2.1,0.071,2255.714285714286,123.82857142857142,7.6,1.7142857142857142,71.43571428571428,-0.5044615384615452,76.6,0.2857142857142857,1.6349999999999998,0.0,0.7777777777777777,-6.296979151893348,1,22,1,0.5,1,0.0707,-3.5,0
2024-02-17,Alex_Beginner,48,7,5,building,False,0.0,0,0.0,0,0,0,0,0.0,1844,104.9,344.8,33.3,1.49,12.1,2.8,4,1833,5,-1033,2877,7.9,9.2,19.5,22.4,83.3,13,0,70.44,25.72,16.0,9.6,44.7,62,6.2,0.068,2166.714285714286,121.47142857142858,7.685714285714285,1.7142857142857142,71.0657142857143,-0.9633846153846225,76.6,0.2857142857142857,0.6632903225806451,0.0,0.8277777777777777,-14.66496308915389,1,22,1,0.5,1,0.0672,-0.4900000000000517,0
2024-02-18,Alex_Beginner,49,7,6,building,False,0.0,0,0.0,0,0,0,0,0.0,2897,101.8,279.5,152.4,1.45,9.8,2.2,4,2297,5,21,2876,7.7,8.4,21.6,24.2,95.8,14,3,70.57,25.73,16.0,14.8,42.9,62,3.7,0.104,2190.285714285714,116.68571428571428,7.614285714285714,1.7142857142857142,70.77857142857144,-1.2498461538461738,76.6,0.2857142857142857,0.973945945945946,0.0,0.8055555555555555,0.29757687402579003,1,22,1,0.5,1,0.1036,0.9099999999999682,0
